split,row,cluster,segment
train,291,0,New high spenders
train,292,2,Long-term high spenders
train,293,0,New high spenders
train,294,1,Long-term low spenders
train,295,0,New high spenders
train,296,2,Long-term high spenders
train,297,0,New high spenders
train,298,3,New low spenders
train,299,2,Long-term high spenders
train,300,3,New low spenders
train,301,0,New high spenders
train,302,1,Long-term low spenders
train,303,0,New high spenders
train,304,0,New high spenders
train,305,2,Long-term high spenders
train,306,0,New high spenders
train,307,2,Long-term high spenders
train,308,2,Long-term high spenders
train,309,2,Long-term high spenders
train,310,0,New high spenders
train,311,3,New low spenders
train,312,2,Long-term high spenders
train,313,0,New high spenders
train,314,0,New high spenders
train,315,0,New high spenders
train,316,2,Long-term high spenders
train,317,3,New low spenders
train,318,3,New low spenders
train,319,3,New low spenders
train,320,0,New high spenders
train,321,2,Long-term high spenders
train,322,3,New low spenders
train,323,0,New high spenders
train,324,0,New high spenders
train,325,2,Long-term high spenders
train,326,2,Long-term high spenders
train,327,1,Long-term low spenders
train,328,1,Long-term low spenders
train,329,3,New low spenders
train,330,0,New high spenders
train,331,0,New high spenders
train,332,2,Long-term high spenders
train,333,3,New low spenders
train,334,0,New high spenders
train,335,2,Long-term high spenders
train,336,2,Long-term high spenders
train,337,3,New low spenders
train,338,0,New high spenders
train,339,1,Long-term low spenders
train,340,3,New low spenders
train,341,0,New high spenders
train,342,0,New high spenders
train,343,2,Long-term high spenders
train,344,1,Long-term low spenders
train,345,3,New low spenders
train,346,1,Long-term low spenders
train,347,0,New high spenders
train,348,0,New high spenders
train,349,0,New high spenders
train,350,0,New high spenders
train,351,1,Long-term low spenders
train,352,0,New high spenders
train,353,2,Long-term high spenders
train,354,3,New low spenders
train,355,3,New low spenders
train,356,2,Long-term high spenders
train,357,2,Long-term high spenders
train,358,0,New high spenders
train,359,0,New high spenders
train,360,2,Long-term high spenders
train,361,2,Long-term high spenders
train,362,0,New high spenders
train,363,3,New low spenders
train,364,3,New low spenders
train,365,0,New high spenders
train,366,2,Long-term high spenders
train,367,1,Long-term low spenders
train,368,0,New high spenders
train,369,3,New low spenders
train,370,3,New low spenders
train,371,2,Long-term high spenders
train,372,1,Long-term low spenders
train,373,0,New high spenders
train,374,2,Long-term high spenders
train,375,1,Long-term low spenders
train,376,2,Long-term high spenders
train,377,2,Long-term high spenders
train,378,0,New high spenders
train,379,3,New low spenders
train,380,0,New high spenders
train,381,1,Long-term low spenders
train,382,3,New low spenders
train,383,2,Long-term high spenders
train,384,3,New low spenders
train,385,2,Long-term high spenders
train,386,3,New low spenders
train,387,0,New high spenders
train,388,0,New high spenders
train,389,1,Long-term low spenders
train,390,2,Long-term high spenders
train,391,2,Long-term high spenders
train,392,3,New low spenders
train,393,0,New high spenders
train,394,0,New high spenders
train,395,2,Long-term high spenders
train,396,0,New high spenders
train,397,1,Long-term low spenders
train,398,3,New low spenders
train,399,1,Long-term low spenders
train,400,0,New high spenders
train,401,2,Long-term high spenders
train,402,0,New high spenders
train,403,3,New low spenders
train,404,0,New high spenders
train,405,3,New low spenders
train,406,3,New low spenders
train,407,0,New high spenders
train,408,3,New low spenders
train,409,3,New low spenders
train,410,2,Long-term high spenders
train,411,0,New high spenders
train,412,0,New high spenders
train,413,2,Long-term high spenders
train,414,0,New high spenders
train,415,0,New high spenders
train,416,2,Long-term high spenders
train,417,2,Long-term high spenders
train,418,0,New high spenders
train,419,2,Long-term high spenders
train,420,1,Long-term low spenders
train,421,1,Long-term low spenders
train,422,1,Long-term low spenders
train,423,3,New low spenders
train,424,0,New high spenders
train,425,1,Long-term low spenders
train,426,0,New high spenders
train,427,0,New high spenders
train,428,0,New high spenders
train,429,3,New low spenders
train,430,2,Long-term high spenders
train,431,3,New low spenders
train,432,1,Long-term low spenders
train,433,0,New high spenders
train,434,1,Long-term low spenders
train,435,0,New high spenders
train,436,2,Long-term high spenders
train,437,0,New high spenders
train,438,3,New low spenders
train,439,2,Long-term high spenders
train,440,1,Long-term low spenders
train,441,3,New low spenders
train,442,2,Long-term high spenders
train,443,0,New high spenders
train,444,3,New low spenders
train,445,3,New low spenders
train,446,1,Long-term low spenders
train,447,3,New low spenders
train,448,1,Long-term low spenders
train,449,3,New low spenders
train,450,0,New high spenders
train,451,2,Long-term high spenders
train,452,2,Long-term high spenders
train,453,0,New high spenders
train,454,3,New low spenders
train,455,0,New high spenders
train,456,3,New low spenders
train,457,1,Long-term low spenders
train,458,2,Long-term high spenders
train,459,2,Long-term high spenders
train,460,1,Long-term low spenders
train,461,2,Long-term high spenders
train,462,3,New low spenders
train,463,1,Long-term low spenders
train,464,0,New high spenders
train,465,2,Long-term high spenders
train,466,0,New high spenders
train,467,1,Long-term low spenders
train,468,0,New high spenders
train,469,1,Long-term low spenders
train,470,0,New high spenders
train,471,1,Long-term low spenders
train,472,0,New high spenders
train,473,0,New high spenders
train,474,1,Long-term low spenders
train,475,0,New high spenders
train,476,3,New low spenders
train,477,1,Long-term low spenders
train,478,2,Long-term high spenders
train,479,1,Long-term low spenders
train,480,3,New low spenders
train,481,1,Long-term low spenders
train,482,0,New high spenders
train,483,2,Long-term high spenders
train,484,0,New high spenders
train,485,0,New high spenders
train,486,0,New high spenders
train,487,3,New low spenders
train,488,0,New high spenders
train,489,0,New high spenders
train,490,3,New low spenders
train,491,2,Long-term high spenders
train,492,3,New low spenders
train,493,0,New high spenders
train,494,2,Long-term high spenders
train,495,3,New low spenders
train,496,2,Long-term high spenders
train,497,2,Long-term high spenders
train,498,2,Long-term high spenders
train,499,3,New low spenders
train,500,1,Long-term low spenders
train,501,3,New low spenders
train,502,3,New low spenders
train,503,2,Long-term high spenders
train,504,0,New high spenders
train,505,3,New low spenders
train,506,0,New high spenders
train,507,3,New low spenders
train,508,0,New high spenders
train,509,0,New high spenders
train,510,0,New high spenders
train,511,0,New high spenders
train,512,1,Long-term low spenders
train,513,0,New high spenders
train,514,0,New high spenders
train,515,2,Long-term high spenders
train,516,0,New high spenders
train,517,3,New low spenders
train,518,1,Long-term low spenders
train,519,2,Long-term high spenders
train,520,1,Long-term low spenders
train,521,3,New low spenders
train,522,3,New low spenders
train,523,2,Long-term high spenders
train,524,1,Long-term low spenders
train,525,2,Long-term high spenders
train,526,1,Long-term low spenders
train,527,3,New low spenders
train,528,0,New high spenders
train,529,3,New low spenders
train,530,1,Long-term low spenders
train,531,0,New high spenders
train,532,0,New high spenders
train,533,0,New high spenders
train,534,1,Long-term low spenders
train,535,2,Long-term high spenders
train,536,0,New high spenders
train,537,2,Long-term high spenders
train,538,0,New high spenders
train,539,0,New high spenders
train,540,3,New low spenders
train,541,0,New high spenders
train,542,2,Long-term high spenders
train,543,2,Long-term high spenders
train,544,2,Long-term high spenders
train,545,1,Long-term low spenders
train,546,2,Long-term high spenders
train,547,0,New high spenders
train,548,0,New high spenders
train,549,2,Long-term high spenders
train,550,2,Long-term high spenders
train,551,0,New high spenders
train,552,2,Long-term high spenders
train,553,3,New low spenders
train,554,0,New high spenders
train,555,3,New low spenders
train,556,3,New low spenders
train,557,3,New low spenders
train,558,3,New low spenders
train,559,1,Long-term low spenders
train,560,1,Long-term low spenders
train,561,1,Long-term low spenders
train,562,0,New high spenders
train,563,0,New high spenders
train,564,2,Long-term high spenders
train,565,1,Long-term low spenders
train,566,2,Long-term high spenders
train,567,3,New low spenders
train,568,0,New high spenders
train,569,1,Long-term low spenders
train,570,3,New low spenders
train,571,0,New high spenders
train,572,2,Long-term high spenders
train,573,3,New low spenders
train,574,3,New low spenders
train,575,3,New low spenders
train,576,0,New high spenders
train,577,1,Long-term low spenders
train,578,3,New low spenders
train,579,2,Long-term high spenders
train,580,0,New high spenders
train,581,3,New low spenders
train,582,1,Long-term low spenders
train,583,0,New high spenders
train,584,0,New high spenders
train,585,0,New high spenders
train,586,0,New high spenders
train,587,0,New high spenders
train,588,0,New high spenders
train,589,0,New high spenders
train,590,2,Long-term high spenders
train,591,2,Long-term high spenders
train,592,0,New high spenders
train,593,0,New high spenders
train,594,0,New high spenders
train,595,2,Long-term high spenders
train,596,3,New low spenders
train,597,1,Long-term low spenders
train,598,1,Long-term low spenders
train,599,3,New low spenders
train,600,0,New high spenders
train,601,0,New high spenders
train,602,1,Long-term low spenders
train,603,2,Long-term high spenders
train,604,0,New high spenders
train,605,0,New high spenders
train,606,2,Long-term high spenders
train,607,3,New low spenders
train,608,3,New low spenders
train,609,3,New low spenders
train,610,0,New high spenders
train,611,0,New high spenders
train,612,0,New high spenders
train,613,0,New high spenders
train,614,2,Long-term high spenders
train,615,0,New high spenders
train,616,0,New high spenders
train,617,3,New low spenders
train,618,1,Long-term low spenders
train,619,2,Long-term high spenders
train,620,0,New high spenders
train,621,3,New low spenders
train,622,1,Long-term low spenders
train,623,3,New low spenders
train,624,2,Long-term high spenders
train,625,1,Long-term low spenders
train,626,3,New low spenders
train,627,3,New low spenders
train,628,3,New low spenders
train,629,3,New low spenders
train,630,2,Long-term high spenders
train,631,0,New high spenders
train,632,0,New high spenders
train,633,0,New high spenders
train,634,0,New high spenders
train,635,2,Long-term high spenders
train,636,2,Long-term high spenders
train,637,2,Long-term high spenders
train,638,3,New low spenders
train,639,1,Long-term low spenders
train,640,3,New low spenders
train,641,0,New high spenders
train,642,0,New high spenders
train,643,0,New high spenders
train,644,0,New high spenders
train,645,0,New high spenders
train,646,1,Long-term low spenders
train,647,1,Long-term low spenders
train,648,3,New low spenders
train,649,0,New high spenders
train,650,2,Long-term high spenders
train,651,2,Long-term high spenders
train,652,1,Long-term low spenders
train,653,3,New low spenders
train,654,2,Long-term high spenders
train,655,3,New low spenders
train,656,0,New high spenders
train,657,0,New high spenders
train,658,0,New high spenders
train,659,0,New high spenders
train,660,1,Long-term low spenders
train,661,3,New low spenders
train,662,0,New high spenders
train,663,1,Long-term low spenders
train,664,2,Long-term high spenders
train,665,0,New high spenders
train,666,0,New high spenders
train,667,0,New high spenders
train,668,2,Long-term high spenders
train,669,3,New low spenders
train,670,2,Long-term high spenders
train,671,2,Long-term high spenders
train,672,2,Long-term high spenders
train,673,3,New low spenders
train,674,0,New high spenders
train,675,0,New high spenders
train,676,2,Long-term high spenders
train,677,0,New high spenders
train,678,2,Long-term high spenders
train,679,2,Long-term high spenders
train,680,0,New high spenders
train,681,0,New high spenders
train,682,0,New high spenders
train,683,1,Long-term low spenders
train,684,0,New high spenders
train,685,2,Long-term high spenders
train,686,3,New low spenders
train,687,2,Long-term high spenders
train,688,0,New high spenders
train,689,2,Long-term high spenders
train,690,2,Long-term high spenders
train,691,2,Long-term high spenders
train,692,1,Long-term low spenders
train,693,3,New low spenders
train,694,2,Long-term high spenders
train,695,3,New low spenders
train,696,1,Long-term low spenders
train,697,2,Long-term high spenders
train,698,1,Long-term low spenders
train,699,2,Long-term high spenders
train,700,1,Long-term low spenders
train,701,3,New low spenders
train,702,2,Long-term high spenders
train,703,3,New low spenders
train,704,3,New low spenders
train,705,0,New high spenders
train,706,1,Long-term low spenders
train,707,0,New high spenders
train,708,3,New low spenders
train,709,0,New high spenders
train,710,0,New high spenders
train,711,2,Long-term high spenders
train,712,2,Long-term high spenders
train,713,2,Long-term high spenders
train,714,0,New high spenders
train,715,3,New low spenders
train,716,0,New high spenders
train,717,3,New low spenders
train,718,1,Long-term low spenders
train,719,3,New low spenders
train,720,0,New high spenders
train,721,0,New high spenders
train,722,0,New high spenders
train,723,0,New high spenders
train,724,0,New high spenders
train,725,2,Long-term high spenders
train,726,3,New low spenders
train,727,0,New high spenders
train,728,0,New high spenders
train,729,0,New high spenders
train,730,2,Long-term high spenders
train,731,2,Long-term high spenders
train,732,1,Long-term low spenders
train,733,3,New low spenders
train,734,0,New high spenders
train,735,0,New high spenders
train,736,2,Long-term high spenders
train,737,3,New low spenders
train,738,3,New low spenders
train,739,2,Long-term high spenders
train,740,3,New low spenders
train,741,0,New high spenders
train,742,0,New high spenders
train,743,3,New low spenders
train,744,0,New high spenders
train,745,2,Long-term high spenders
train,746,0,New high spenders
train,747,0,New high spenders
train,748,3,New low spenders
train,749,0,New high spenders
train,750,3,New low spenders
train,751,1,Long-term low spenders
train,752,2,Long-term high spenders
train,753,2,Long-term high spenders
train,754,2,Long-term high spenders
train,755,1,Long-term low spenders
train,756,3,New low spenders
train,757,0,New high spenders
train,758,3,New low spenders
train,759,1,Long-term low spenders
train,760,1,Long-term low spenders
train,761,0,New high spenders
train,762,2,Long-term high spenders
train,763,1,Long-term low spenders
train,764,2,Long-term high spenders
train,765,2,Long-term high spenders
train,766,3,New low spenders
train,767,1,Long-term low spenders
train,768,3,New low spenders
train,769,2,Long-term high spenders
train,770,0,New high spenders
train,771,0,New high spenders
train,772,0,New high spenders
train,773,0,New high spenders
train,774,3,New low spenders
train,775,3,New low spenders
train,776,0,New high spenders
train,777,0,New high spenders
train,778,1,Long-term low spenders
train,779,3,New low spenders
train,780,0,New high spenders
train,781,1,Long-term low spenders
train,782,0,New high spenders
train,783,3,New low spenders
train,784,2,Long-term high spenders
train,785,0,New high spenders
train,786,0,New high spenders
train,787,2,Long-term high spenders
train,788,3,New low spenders
train,789,2,Long-term high spenders
train,790,3,New low spenders
train,791,0,New high spenders
train,792,2,Long-term high spenders
train,793,2,Long-term high spenders
train,794,0,New high spenders
train,795,2,Long-term high spenders
train,796,2,Long-term high spenders
train,797,2,Long-term high spenders
train,798,0,New high spenders
train,799,0,New high spenders
train,800,0,New high spenders
train,801,1,Long-term low spenders
train,802,0,New high spenders
train,803,0,New high spenders
train,804,3,New low spenders
train,805,2,Long-term high spenders
train,806,1,Long-term low spenders
train,807,3,New low spenders
train,808,0,New high spenders
train,809,3,New low spenders
train,810,2,Long-term high spenders
train,811,0,New high spenders
train,812,0,New high spenders
train,813,0,New high spenders
train,814,1,Long-term low spenders
train,815,1,Long-term low spenders
train,816,3,New low spenders
train,817,1,Long-term low spenders
train,818,3,New low spenders
train,819,0,New high spenders
train,820,0,New high spenders
train,821,2,Long-term high spenders
train,822,1,Long-term low spenders
train,823,3,New low spenders
train,824,0,New high spenders
train,825,0,New high spenders
train,826,0,New high spenders
train,827,0,New high spenders
train,828,1,Long-term low spenders
train,829,3,New low spenders
train,830,0,New high spenders
train,831,1,Long-term low spenders
train,832,2,Long-term high spenders
train,833,1,Long-term low spenders
train,834,2,Long-term high spenders
train,835,0,New high spenders
train,836,1,Long-term low spenders
train,837,0,New high spenders
train,838,1,Long-term low spenders
train,839,0,New high spenders
train,840,3,New low spenders
train,841,1,Long-term low spenders
train,842,0,New high spenders
train,843,0,New high spenders
train,844,2,Long-term high spenders
train,845,0,New high spenders
train,846,0,New high spenders
train,847,3,New low spenders
train,848,2,Long-term high spenders
train,849,3,New low spenders
train,850,2,Long-term high spenders
train,851,0,New high spenders
train,852,0,New high spenders
train,853,2,Long-term high spenders
train,854,2,Long-term high spenders
train,855,0,New high spenders
train,856,1,Long-term low spenders
train,857,1,Long-term low spenders
train,858,0,New high spenders
train,859,2,Long-term high spenders
train,860,2,Long-term high spenders
train,861,3,New low spenders
train,862,1,Long-term low spenders
train,863,2,Long-term high spenders
train,864,0,New high spenders
train,865,2,Long-term high spenders
train,866,3,New low spenders
train,867,1,Long-term low spenders
train,868,3,New low spenders
train,869,0,New high spenders
train,870,3,New low spenders
train,871,2,Long-term high spenders
train,872,1,Long-term low spenders
train,873,1,Long-term low spenders
train,874,1,Long-term low spenders
train,875,1,Long-term low spenders
train,876,2,Long-term high spenders
train,877,0,New high spenders
train,878,2,Long-term high spenders
train,879,1,Long-term low spenders
train,880,2,Long-term high spenders
train,881,1,Long-term low spenders
train,882,1,Long-term low spenders
train,883,0,New high spenders
train,884,1,Long-term low spenders
train,885,3,New low spenders
train,886,0,New high spenders
train,887,1,Long-term low spenders
train,888,2,Long-term high spenders
train,889,3,New low spenders
train,890,2,Long-term high spenders
train,891,1,Long-term low spenders
train,892,0,New high spenders
train,893,0,New high spenders
train,894,3,New low spenders
train,895,3,New low spenders
train,896,3,New low spenders
train,897,1,Long-term low spenders
train,898,0,New high spenders
train,899,3,New low spenders
train,900,0,New high spenders
train,901,0,New high spenders
train,902,2,Long-term high spenders
train,903,0,New high spenders
train,904,2,Long-term high spenders
train,905,3,New low spenders
train,906,0,New high spenders
train,907,1,Long-term low spenders
train,908,1,Long-term low spenders
train,909,1,Long-term low spenders
train,910,0,New high spenders
train,911,0,New high spenders
train,912,3,New low spenders
train,913,2,Long-term high spenders
train,914,0,New high spenders
train,915,3,New low spenders
train,916,2,Long-term high spenders
train,917,3,New low spenders
train,918,2,Long-term high spenders
train,919,2,Long-term high spenders
train,920,0,New high spenders
train,921,2,Long-term high spenders
train,922,0,New high spenders
train,923,0,New high spenders
train,924,3,New low spenders
train,925,3,New low spenders
train,926,3,New low spenders
train,927,2,Long-term high spenders
train,928,2,Long-term high spenders
train,929,2,Long-term high spenders
train,930,2,Long-term high spenders
train,931,0,New high spenders
train,932,0,New high spenders
train,933,1,Long-term low spenders
train,934,0,New high spenders
train,935,0,New high spenders
train,936,3,New low spenders
train,937,0,New high spenders
train,938,0,New high spenders
train,939,0,New high spenders
train,940,2,Long-term high spenders
train,941,0,New high spenders
train,942,2,Long-term high spenders
train,943,3,New low spenders
train,944,2,Long-term high spenders
train,945,2,Long-term high spenders
train,946,2,Long-term high spenders
train,947,1,Long-term low spenders
train,948,2,Long-term high spenders
train,949,2,Long-term high spenders
train,950,2,Long-term high spenders
train,951,3,New low spenders
train,952,0,New high spenders
train,953,2,Long-term high spenders
train,954,3,New low spenders
train,955,2,Long-term high spenders
train,956,3,New low spenders
train,957,0,New high spenders
train,958,2,Long-term high spenders
train,959,2,Long-term high spenders
train,960,3,New low spenders
train,961,1,Long-term low spenders
train,962,3,New low spenders
train,963,3,New low spenders
train,964,2,Long-term high spenders
train,965,2,Long-term high spenders
train,966,0,New high spenders
train,967,0,New high spenders
train,968,2,Long-term high spenders
train,969,2,Long-term high spenders
train,970,2,Long-term high spenders
train,971,0,New high spenders
train,972,2,Long-term high spenders
train,973,1,Long-term low spenders
train,974,3,New low spenders
train,975,0,New high spenders
train,976,3,New low spenders
train,977,1,Long-term low spenders
train,978,0,New high spenders
train,979,2,Long-term high spenders
train,980,3,New low spenders
train,981,3,New low spenders
train,982,3,New low spenders
train,983,0,New high spenders
train,984,2,Long-term high spenders
train,985,0,New high spenders
train,986,1,Long-term low spenders
train,987,0,New high spenders
train,988,3,New low spenders
train,989,3,New low spenders
train,990,0,New high spenders
train,991,3,New low spenders
train,992,3,New low spenders
train,993,0,New high spenders
train,994,3,New low spenders
train,995,2,Long-term high spenders
train,996,3,New low spenders
train,997,3,New low spenders
train,998,2,Long-term high spenders
train,999,3,New low spenders
train,1000,1,Long-term low spenders
train,1001,1,Long-term low spenders
train,1002,3,New low spenders
train,1003,0,New high spenders
train,1004,1,Long-term low spenders
train,1005,1,Long-term low spenders
train,1006,3,New low spenders
train,1007,3,New low spenders
train,1008,3,New low spenders
train,1009,1,Long-term low spenders
train,1010,3,New low spenders
train,1011,0,New high spenders
train,1012,0,New high spenders
train,1013,0,New high spenders
train,1014,2,Long-term high spenders
train,1015,3,New low spenders
train,1016,2,Long-term high spenders
train,1017,2,Long-term high spenders
train,1018,2,Long-term high spenders
train,1019,3,New low spenders
train,1020,0,New high spenders
train,1021,3,New low spenders
train,1022,2,Long-term high spenders
train,1023,3,New low spenders
train,1024,3,New low spenders
train,1025,2,Long-term high spenders
train,1026,3,New low spenders
train,1027,0,New high spenders
train,1028,2,Long-term high spenders
train,1029,2,Long-term high spenders
train,1030,3,New low spenders
train,1031,1,Long-term low spenders
train,1032,3,New low spenders
train,1033,0,New high spenders
train,1034,0,New high spenders
train,1035,2,Long-term high spenders
train,1036,3,New low spenders
train,1037,3,New low spenders
train,1038,0,New high spenders
train,1039,0,New high spenders
train,1040,2,Long-term high spenders
train,1041,0,New high spenders
train,1042,2,Long-term high spenders
train,1043,2,Long-term high spenders
train,1044,2,Long-term high spenders
train,1045,1,Long-term low spenders
train,1046,0,New high spenders
train,1047,2,Long-term high spenders
train,1048,3,New low spenders
train,1049,1,Long-term low spenders
